date,title,channel,section,counted_because,ai_mentions,url
2023-11-13,Sheila Heti on the Fluidity of the A.I. “Self”,online,books,tag,29,https://www.newyorker.com/books/this-week-in-fiction/sheila-heti-11-20-23
2023-11-13,Christoph Niemann’s “Create Your Own Cover with Till-E”,online,culture,tag,10,https://www.newyorker.com/culture/cover-story/cover-story-2023-11-20
2023-11-13,Your A.I. Companion Will Support You No Matter What,online,culture,tag,46,https://www.newyorker.com/culture/infinite-scroll/your-ai-companion-will-support-you-no-matter-what
2023-11-13,Why the Godfather of A.I. Fears What He’s Built,print,magazine,tag,52,https://www.newyorker.com/magazine/2023/11/20/geoffrey-hinton-profile-ai
2023-11-13,Holly Herndon’s Infinite Art,print,magazine,text (45 mentions),45,https://www.newyorker.com/magazine/2023/11/20/holly-herndons-infinite-art
2023-11-13,Does A.I. Lead Police to Ignore Contradictory Evidence?,print,magazine,headline,8,https://www.newyorker.com/magazine/2023/11/20/does-a-i-lead-police-to-ignore-contradictory-evidence
2023-11-13,A Coder Considers the Waning Days of the Craft,print,magazine,text (17 mentions),17,https://www.newyorker.com/magazine/2023/11/20/a-coder-considers-the-waning-days-of-the-craft
2023-11-13,What the Doomsayers Get Wrong About Deepfakes,print,magazine,text (6 mentions),6,https://www.newyorker.com/magazine/2023/11/20/a-history-of-fake-things-on-the-internet-walter-j-scheirer-book-review
2023-11-15,We’ve Been Wrong to Worry About Deepfakes (So Far),online,podcast,tag,7,https://www.newyorker.com/podcast/political-scene/weve-been-wrong-to-worry-about-deepfakes-so-far
2023-11-15,Is My Toddler a Stochastic Parrot?,online,humor,tag,1,https://www.newyorker.com/humor/sketchbook/is-my-toddler-a-stochastic-parrot
2023-11-17,A Rise in Antisemitism; and a Conversation with the A.I. Pioneer Geoffrey Hinton,online,podcast,tag,2,https://www.newyorker.com/podcast/the-new-yorker-radio-hour/a-rise-in-antisemitism-and-a-conversation-with-the-ai-pioneer-geoffrey-hinton
2023-11-21,Chaos in the Cradle of A.I.,online,science,tag,29,https://www.newyorker.com/science/annals-of-artificial-intelligence/chaos-in-the-cradle-of-ai
2023-11-27,Has Great Potential! Meet Your A.I. Realtor,print,magazine,headline,3,https://www.newyorker.com/magazine/2023/12/04/has-great-potential-meet-your-ai-realtor
2023-11-27,How Jensen Huang’s Nvidia Is Powering the A.I. Revolution,print,magazine,headline,34,https://www.newyorker.com/magazine/2023/12/04/how-jensen-huangs-nvidia-is-powering-the-ai-revolution
2023-11-29,How Moral Can A.I. Really Be?,online,science,tag,42,https://www.newyorker.com/science/annals-of-artificial-intelligence/how-moral-can-ai-really-be
2023-11-29,Geoffrey Hinton: “It’s Far Too Late” to Stop Artificial Intelligence,online,podcast,tag,2,https://www.newyorker.com/podcast/political-scene/geoffrey-hinton-its-far-too-late-to-stop-artificial-intelligence
2023-11-30,Maybe We Already Have Runaway Machines,online,books,tag,,https://www.newyorker.com/books/under-review/maybe-we-already-have-runaway-machines
2023-12-01,The Inside Story of Microsoft’s Partnership with OpenAI,print,magazine,tag,84,https://www.newyorker.com/magazine/2023/12/11/the-inside-story-of-microsofts-partnership-with-openai
2023-12-07,The Terrible Twenties? The Assholocene? What to Call Our Chaotic Era,online,culture,tag,,https://www.newyorker.com/culture/2023-in-review/what-to-call-our-chaotic-era
2023-12-13,The Top Twenty-five New Yorker Stories of 2023,online,culture,tag,3,https://www.newyorker.com/culture/2023-in-review/the-top-twenty-five-new-yorker-stories-of-2023
2023-12-15,The Year in Moviegoing,online,culture,tag,,https://www.newyorker.com/culture/2023-in-review/the-year-in-moviegoing
2023-12-18,It’s Time to Dismantle the Technopoly,online,tech,tag,8,https://www.newyorker.com/tech/annals-of-technology/its-time-to-dismantle-the-technopoly
2024-01-15,How Much of the World Is It Possible to Model?,online,culture,tag,4,https://www.newyorker.com/culture/annals-of-inquiry/how-much-of-the-world-is-it-possible-to-model
2024-01-15,Is A.I. the Death of I.P.?,print,magazine,tag,20,https://www.newyorker.com/magazine/2024/01/22/who-owns-this-sentence-a-history-of-copyrights-and-wrongs-david-bellos-alexandre-montagu-book-review
2024-01-29,Inside the Music Industry’s High-Stakes A.I. Experiments,print,magazine,tag,35,https://www.newyorker.com/magazine/2024/02/05/inside-the-music-industrys-high-stakes-ai-experiments
2024-01-29,The Search for a New and Better Internet,print,magazine,tag,6,https://www.newyorker.com/magazine/2024/02/05/can-the-internet-be-governed
2024-02-02,Where Will Virtual Reality Take Us?,online,tech,tag,5,https://www.newyorker.com/tech/annals-of-technology/where-will-virtual-reality-take-us
2024-02-16,"When A.I. Can Make a Movie, What Does “Video” Even Mean?",online,science,tag,,https://www.newyorker.com/science/annals-of-artificial-intelligence/when-ai-can-make-a-movie-what-does-video-even-mean
2024-02-19,A.I. Einstein,print,magazine,headline,0,https://www.newyorker.com/magazine/2024/02/26/ai-einstein
2024-02-27,Thinking About A.I. with Stanisław Lem,online,science,tag,,https://www.newyorker.com/science/elements/thinking-about-ai-with-stanislaw-lem
2024-03-01,How to Picture A.I.,online,science,tag,,https://www.newyorker.com/science/annals-of-artificial-intelligence/how-to-picture-ai
2024-03-07,The Terrifying A.I. Scam That Uses Your Loved One’s Voice,online,science,tag,,https://www.newyorker.com/science/annals-of-artificial-intelligence/the-terrifying-ai-scam-that-uses-your-loved-ones-voice
2024-03-09,The Obscene Energy Demands of A.I.,online,news,tag,,https://www.newyorker.com/news/daily-comment/the-obscene-energy-demands-of-ai
2024-03-11,Among the A.I. Doomsayers,print,magazine,headline,75,https://www.newyorker.com/magazine/2024/03/18/among-the-ai-doomsayers
2024-03-15,Can an A.I. Make Plans?,online,science,tag,,https://www.newyorker.com/science/annals-of-artificial-intelligence/can-an-ai-make-plans
2024-03-19,The Lifelike Illusions of A.I.,online,science,tag,34,https://www.newyorker.com/science/annals-of-artificial-intelligence/the-lifelike-illusions-of-ai
2024-04-01,The Mail,print,magazine,text (9 mentions),9,https://www.newyorker.com/magazine/2024/04/08/letters-from-the-april-8-2024-issue
2024-04-12,Inside Israel’s Bombing Campaign in Gaza,online,news,tag,6,https://www.newyorker.com/news/q-and-a/inside-israels-bombing-campaign-in-gaza
2024-04-15,What Is Noise?,print,magazine,text (5 mentions),5,https://www.newyorker.com/magazine/2024/04/22/what-is-noise
2024-04-15,"“Annie Bot” and “Loneliness & Company,” Reviewed",print,magazine,text (24 mentions),24,https://www.newyorker.com/magazine/2024/04/22/annie-bot-sierra-greer-book-review-loneliness-and-company-charlee-dyroff
2024-05-20,Can You Read a Book in a Quarter of an Hour?,print,magazine,tag,9,https://www.newyorker.com/magazine/2024/05/27/can-you-read-a-book-in-a-quarter-of-an-hour
2024-05-22,Faux ScarJo and the Descent of the A.I. Vultures,online,culture,tag,,https://www.newyorker.com/culture/infinite-scroll/faux-scarjo-and-the-descent-of-the-ai-vultures
2024-05-29,Sam Altman Dreams of an A.I. Girlfriend,online,podcast,tag,,https://www.newyorker.com/podcast/political-scene/sam-altman-dreams-of-an-ai-girlfriend
2024-06-03,Are We Doomed? Here’s How to Think About It,print,magazine,text (11 mentions),11,https://www.newyorker.com/magazine/2024/06/10/are-we-doomed-heres-how-to-think-about-it
2024-06-05,What Do We Know About How the World Might End?,online,podcast,tag,,https://www.newyorker.com/podcast/political-scene/what-do-we-know-about-how-the-world-might-end
2024-06-10,How CoComelon Captures Our Children’s Attention,print,magazine,text (6 mentions),6,https://www.newyorker.com/magazine/2024/06/17/cocomelon-children-television-youtube-netflix
2024-07-07,Rashida Jones Wonders What Makes Us Human,online,culture,tag,5,https://www.newyorker.com/culture/the-new-yorker-interview/rashida-jones-wonders-what-makes-us-human
2024-08-06,"In the Age of A.I., What Makes People Unique?",online,culture,tag,,https://www.newyorker.com/culture/open-questions/in-the-age-of-ai-what-makes-people-unique
2024-08-13,Are We Living in the Age of Info-Determinism?,online,culture,tag,,https://www.newyorker.com/culture/open-questions/are-we-living-in-the-age-of-info-determinism
2024-08-23,Was Linguistic A.I. Created by Accident?,online,science,tag,,https://www.newyorker.com/science/annals-of-artificial-intelligence/was-linguistic-ai-created-by-accident
2024-08-27,What Does It Really Mean to Learn?,online,culture,tag,,https://www.newyorker.com/culture/open-questions/what-does-it-really-mean-to-learn
2024-08-30,Does A.I. Really Encourage Cheating in Schools?,online,news,tag,13,https://www.newyorker.com/news/fault-lines/does-ai-really-encourage-cheating-in-schools
2024-08-31,Why A.I. Isn’t Going to Make Art,online,culture,tag,31,https://www.newyorker.com/culture/the-weekend-essay/why-ai-isnt-going-to-make-art
2024-09-02,How A.I. Teaches Machines to Discover Drugs,print,magazine,headline,32,https://www.newyorker.com/magazine/2024/09/09/how-machines-learned-to-discover-drugs
2024-09-02,"Nate Silver’s New Book, “On the Edge,” Reviewed",print,magazine,text (6 mentions),6,https://www.newyorker.com/magazine/2024/09/09/on-the-edge-the-art-of-risking-everything-nate-silver-book-review
2024-09-09,Richard Powers on What We Do to the Earth and What It Does to Us,print,magazine,text (18 mentions),18,https://www.newyorker.com/magazine/2024/09/16/richard-powers-profile
2024-09-30,Is a Chat with a Bot a Conversation?,print,magazine,text (17 mentions),17,https://www.newyorker.com/magazine/2024/10/07/is-a-chat-with-a-bot-a-conversation
2024-10-02,How to Opt Out of A.I. Online,online,culture,tag,23,https://www.newyorker.com/culture/infinite-scroll/how-to-opt-out-of-ai-online
2024-10-03,What Kind of Writer Is ChatGPT?,online,culture,tag,,https://www.newyorker.com/culture/annals-of-inquiry/what-kind-of-writer-is-chatgpt
2024-10-05,What Is Privacy For?,online,culture,tag,3,https://www.newyorker.com/culture/the-weekend-essay/what-is-privacy-for
2024-10-07,"Silicon Valley, the New Lobbying Monster",print,magazine,text (22 mentions),22,https://www.newyorker.com/magazine/2024/10/14/silicon-valley-the-new-lobbying-monster
2024-10-14,How Scientists Started to Decode Birdsong,print,magazine,text (8 mentions),8,https://www.newyorker.com/magazine/2024/10/21/how-scientists-started-to-decode-birdsong
2024-10-21,The U.S. Spies Who Sound the Alarm About Election Interference,print,magazine,text (8 mentions),8,https://www.newyorker.com/magazine/2024/10/28/the-us-spies-who-sound-the-alarm-about-election-interference
2024-11-04,The Artificial State,print,magazine,text (16 mentions),16,https://www.newyorker.com/magazine/2024/11/11/the-artificial-state
2024-11-11,A Revolution in How Robots Learn,print,magazine,text (32 mentions),32,https://www.newyorker.com/magazine/2024/12/02/a-revolution-in-how-robots-learn
2024-11-20,The Fantasy of Cozy Tech,online,culture,tag,10,https://www.newyorker.com/culture/infinite-scroll/the-fantasy-of-cozy-tech
2024-12-09,Monopoly: A.I. Edition!,print,magazine,headline,1,https://www.newyorker.com/magazine/2024/12/16/monopoly-ai-edition
2024-12-23,The Lonely Skepticism of a Bull-Market Skeptic,online,news,tag,8,https://www.newyorker.com/news/the-financial-page/jeremy-grantham-is-still-waiting-for-the-bubble-to-pop
2025-01-31,Bill Gates and the New Trumpian Tech Oligarchs,online,podcast,tag,12,https://www.newyorker.com/podcast/the-new-yorker-radio-hour/bill-gates-on-his-new-memoir-and-dining-with-donald-trump-at-mar-a-lago
2025-02-03,Is DeepSeek China’s Sputnik Moment?,online,news,tag,,https://www.newyorker.com/news/the-financial-page/is-deepseek-chinas-sputnik-moment
2025-02-12,Elon Musk’s A.I.-Fuelled War on Human Agency,online,culture,tag,28,https://www.newyorker.com/culture/infinite-scroll/elon-musks-ai-fuelled-war-on-human-agency
2025-03-05,Donald Trump’s A.I. Propaganda,online,culture,tag,14,https://www.newyorker.com/culture/infinite-scroll/donald-trumps-ai-propaganda
2025-03-09,Trump’s Agenda Is Undermining American Science,print,magazine,tag,1,https://www.newyorker.com/magazine/2025/03/17/trumps-agenda-is-undermining-american-science
2025-03-10,Can Artificial Intelligence Stir-Fry?,print,magazine,headline,13,https://www.newyorker.com/magazine/2025/03/17/can-artificial-intelligence-stir-fry
2025-03-22,Your A.I. Lover Will Change You,online,culture,tag,82,https://www.newyorker.com/culture/the-weekend-essay/your-ai-lover-will-change-you
2025-04-04,"Why the Tech Giant Nvidia May Own the Future. Plus, Joshua Rothman on Taking A.I. Seriously",online,podcast,tag,5,https://www.newyorker.com/podcast/the-new-yorker-radio-hour/why-the-tech-giant-nvidia-may-own-the-future-plus-joshua-rothman-on-taking-ai-seriously
2025-04-08,Will A.I. Save the News?,online,culture,tag,,https://www.newyorker.com/culture/open-questions/will-ai-save-the-news
2025-04-14,How to Survive the A.I. Revolution,print,magazine,headline,51,https://www.newyorker.com/magazine/2025/04/21/how-to-survive-the-ai-revolution
2025-04-26,Trump Is the Emperor of A.I. Slop,online,culture,tag,8,https://www.newyorker.com/culture/critics-notebook/trump-is-the-emperor-of-ai-slop
2025-04-26,Will the Humanities Survive Artificial Intelligence?,online,culture,tag,19,https://www.newyorker.com/culture/the-weekend-essay/will-the-humanities-survive-artificial-intelligence
2025-04-29,Why Even Try if You Have A.I.?,online,culture,tag,,https://www.newyorker.com/culture/open-questions/why-even-try-if-you-have-ai
2025-05-03,My Brain Finally Broke,online,culture,tag,18,https://www.newyorker.com/culture/the-weekend-essay/my-brain-finally-broke
2025-05-06,How Is Elon Musk Powering His Supercomputer?,online,news,tag,,https://www.newyorker.com/news/the-lede/how-is-elon-musk-powering-his-supercomputer
2025-05-19,Can Sam Altman Be Trusted with the Future?,online,books,tag,33,https://www.newyorker.com/books/under-review/can-sam-altman-be-trusted-with-the-future
2025-05-27,Two Paths for A.I.,online,culture,tag,,https://www.newyorker.com/culture/open-questions/two-paths-for-ai
2025-05-28,Sam Altman and Jony Ive Will Force A.I. Into Your Life,online,culture,tag,19,https://www.newyorker.com/culture/infinite-scroll/sam-altman-and-jony-ive-will-force-ai-into-your-life
2025-06-03,What Isaac Asimov Reveals About Living with A.I.,online,culture,tag,23,https://www.newyorker.com/culture/open-questions/what-isaac-asimov-reveals-about-living-with-ai
2025-06-13,Do Androids Dream of Anything at All?,online,culture,tag,6,https://www.newyorker.com/culture/persons-of-interest/do-androids-dream-of-anything-at-all
2025-06-16,What Did Elon Musk Accomplish at DOGE?,print,magazine,text (20 mentions),20,https://www.newyorker.com/magazine/2025/06/23/what-did-elon-musk-accomplish-at-doge
2025-06-17,What’s Happening to Reading?,online,culture,tag,22,https://www.newyorker.com/culture/open-questions/whats-happening-to-reading
2025-06-25,A.I. Is Homogenizing Our Thoughts,online,culture,tag,37,https://www.newyorker.com/culture/infinite-scroll/ai-is-homogenizing-our-thoughts
2025-06-26,“M3GAN 2.0” Is a Victim of Inflation,online,culture,tag,3,https://www.newyorker.com/culture/the-front-row/m3gan-20-is-a-victim-of-inflation
2025-06-30,What Happens After A.I. Destroys College Writing?,print,magazine,headline,104,https://www.newyorker.com/magazine/2025/07/07/the-end-of-the-english-paper
2025-07-12,What Do Commercials About A.I. Really Promise?,online,culture,tag,4,https://www.newyorker.com/culture/critics-notebook/what-do-commercials-about-ai-really-promise
2025-07-14,Is the U.S. Ready for the Next War?,print,magazine,text (25 mentions),25,https://www.newyorker.com/magazine/2025/07/21/is-the-us-ready-for-the-next-war
2025-07-14,A.I. Is About to Solve Loneliness. That’s a Problem,print,magazine,headline,35,https://www.newyorker.com/magazine/2025/07/21/ai-is-about-to-solve-loneliness-thats-a-problem
2025-07-21,Donald Trump’s Tariff Dealmaker-in-Chief,print,magazine,text (5 mentions),5,https://www.newyorker.com/magazine/2025/07/28/donald-trumps-tariff-dealmaker-in-chief
2025-08-04,How to Live Forever and Get Rich Doing It,print,magazine,text (22 mentions),22,https://www.newyorker.com/magazine/2025/08/11/how-to-live-forever-and-get-rich-doing-it
2025-08-09,What It’s Like to Brainstorm with a Bot,online,culture,tag,10,https://www.newyorker.com/culture/the-weekend-essay/what-its-like-to-brainstorm-with-a-bot
2025-08-11,Is the A.I. Boom Turning Into an A.I. Bubble?,online,news,tag,,https://www.newyorker.com/news/the-financial-page/is-the-ai-boom-turning-into-an-ai-bubble
2025-08-12,What if A.I. Doesn’t Get Much Better Than This?,online,culture,tag,37,https://www.newyorker.com/culture/open-questions/what-if-ai-doesnt-get-much-better-than-this
2025-08-23,The High Femme Dystopia of Star Amerasu,online,culture,tag,20,https://www.newyorker.com/culture/critics-notebook/the-high-femme-dystopia-of-star-amerasu
2025-08-25,The A.I.-Profits Drought and the Lessons of History,online,news,tag,25,https://www.newyorker.com/news/the-financial-page/the-ai-profits-drought-and-the-lessons-of-history
2025-08-25,A.I. Is Coming for Culture,print,magazine,headline,68,https://www.newyorker.com/magazine/2025/09/01/ai-is-coming-for-culture
2025-08-25,A24’s Empire of Auteurs,print,magazine,text (6 mentions),6,https://www.newyorker.com/magazine/2025/09/01/a24s-empire-of-auteurs
