date,title,channel,section,counted_because,ai_mentions,url
2026-02-25,“TBPN” and the Rise of the Tech-Friendly Talk Show,online,culture,tag,16,https://www.newyorker.com/culture/the-lede/tbpn-and-the-rise-of-the-tech-friendly-talk-show
2026-03-02,Can A.I. Be Pro-Worker?,online,news,tag,24,https://www.newyorker.com/news/the-financial-page/can-ai-be-pro-worker
2026-03-09,Love in the Time of A.I. Companions,print,magazine,headline,76,https://www.newyorker.com/magazine/2026/03/16/love-in-the-time-of-ai-companions
2026-03-14,Anthropic and Donald Trump’s Dangerous Alignment Problem,online,news,tag,28,https://www.newyorker.com/news/annals-of-inquiry/the-pentagon-went-to-war-with-anthropic-whats-really-at-stake
2026-03-16,Lisa Kudrow Is Back—Again,print,magazine,text (9 mentions),9,https://www.newyorker.com/magazine/2026/03/23/lisa-kudrow-profile
2026-03-16,Rolling Out Our New A.I. Tools,print,magazine,headline,6,https://www.newyorker.com/magazine/2026/03/23/rolling-out-our-new-ai-tools
2026-03-18,The Pentagon Wants an Obedient A.I. Soldier. Will It Get One?,online,podcast,tag,0,https://www.newyorker.com/podcast/political-scene/the-pentagon-wants-an-obedient-ai-soldier-will-it-get-one
2026-03-18,Why Tech Bros Are Now Obsessed with Taste,online,culture,tag,21,https://www.newyorker.com/culture/infinite-scroll/why-tech-bros-are-now-obsessed-with-taste
2026-03-22,"How Bad Is Plagiarism, Really?",print,magazine,text (5 mentions),5,https://www.newyorker.com/magazine/2026/03/30/strikingly-similar-roger-kreuz-book-review
2026-03-23,Does A.I. Need a Constitution?,print,magazine,headline,57,https://www.newyorker.com/magazine/2026/03/30/does-ai-need-a-constitution
2026-03-30,Kanye West’s “Bully”: Album Review,print,magazine,text (6 mentions),6,https://www.newyorker.com/magazine/2026/04/13/kanye-west-music-review-bully
2026-04-02,"The Team Behind a Pro-Iran, Lego-Themed Viral-Video Campaign",online,culture,tag,6,https://www.newyorker.com/culture/infinite-scroll/the-team-behind-a-pro-iran-lego-themed-viral-video-campaign
2026-04-03,Is It Wrong to Write a Book with A.I.?,online,culture,tag,14,https://www.newyorker.com/culture/open-questions/is-it-wrong-to-write-a-book-with-ai
2026-04-06,Christoph Niemann’s “New Horizons”,online,culture,tag,,https://www.newyorker.com/culture/cover-story/cover-story-2026-04-13
2026-04-06,An Economist’s Quest to Solve America’s Wage Problem,online,news,tag,11,https://www.newyorker.com/news/the-financial-page/an-economists-quest-to-solve-americas-wage-problem
2026-04-06,Sam Altman May Control Our Future—Can He Be Trusted?,print,magazine,text (77 mentions),77,https://www.newyorker.com/magazine/2026/04/13/sam-altman-may-control-our-future-can-he-be-trusted
2026-04-10,Sam Altman’s Trust Issues at OpenAI,online,podcast,tag,,https://www.newyorker.com/podcast/the-new-yorker-radio-hour/sam-altmans-trust-issues-at-openai
2026-04-13,"Sam Wang, Politician-in-Training",print,magazine,text (5 mentions),5,https://www.newyorker.com/magazine/2026/04/20/sam-wang-politician-in-training
2026-04-13,The Wild Mind of the Romanian Director Radu Jude,print,magazine,text (8 mentions),8,https://www.newyorker.com/magazine/2026/04/20/radu-jude-the-bard-of-bucharest
2026-04-13,Letters from Our Readers,print,magazine,text (5 mentions),5,https://www.newyorker.com/magazine/2026/04/20/letters-from-the-april-20-2026-issue
2026-04-15,How Project Maven Put A.I. Into the Kill Chain,online,books,tag,,https://www.newyorker.com/books/under-review/how-project-maven-put-ai-into-the-kill-chain
2026-04-15,A.I. Has a Message Problem of Its Own Making,online,culture,tag,,https://www.newyorker.com/culture/infinite-scroll/ai-has-a-message-problem-of-its-own-making
2026-04-23,What Will It Take to Get A.I. Out of Schools?,online,culture,tag,,https://www.newyorker.com/culture/progress-report/what-will-it-take-to-get-ai-out-of-schools
2026-04-25,"With A.I., Anyone Can Be an Influencer",online,culture,tag,,https://www.newyorker.com/culture/the-lede/with-ai-anyone-can-be-an-influencer
2026-04-25,Inside the World-Conquering Rise of the Micro-Drama,online,culture,tag,,https://www.newyorker.com/culture/the-weekend-essay/inside-the-world-conquering-rise-of-the-micro-drama
2026-04-29,The Kirkification of Our Troubled Times,online,culture,tag,,https://www.newyorker.com/culture/infinite-scroll/the-kirkification-of-our-troubled-times
2026-05-04,The A.I. Industry Is Booming. When Will It Actually Make Money?,online,news,tag,,https://www.newyorker.com/news/the-financial-page/the-ai-industry-is-booming-when-will-it-actually-make-money
2026-05-04,Barack Obama Considers His Role in the Age of Trump,print,magazine,text (5 mentions),5,https://www.newyorker.com/magazine/2026/05/11/barack-obama-in-the-age-of-trump
2026-05-05,Will A.I. Make College Obsolete?,online,news,tag,,https://www.newyorker.com/news/fault-lines/will-ai-make-college-obsolete
2026-05-06,A Lo-Fi Rebellion Against A.I.,online,culture,tag,,https://www.newyorker.com/culture/infinite-scroll/a-lo-fi-rebellion-against-ai
2026-05-07,How a Congressional Primary Became a Proxy Battle Over A.I.,online,news,tag,,https://www.newyorker.com/news/our-local-correspondents/how-a-congressional-primary-became-a-proxy-battle-over-ai
2026-05-12,Why the Future of College Could Look Like OnlyFans,online,news,tag,,https://www.newyorker.com/news/fault-lines/why-the-future-of-college-could-look-like-onlyfans
2026-05-18,The Prehistory of A.I. Slop,print,magazine,headline,12,https://www.newyorker.com/magazine/2026/05/25/the-prehistory-of-ai-slop
2026-05-20,A Booming Shadow Market of Sketchy A.I. Investments,online,culture,tag,,https://www.newyorker.com/culture/infinite-scroll/a-booming-shadow-market-of-sketchy-ai-investments
2026-05-20,"Sam Altman Won in Court Against Elon Musk. But, Really, We All Lost",online,news,tag,,https://www.newyorker.com/news/letter-from-silicon-valley/sam-altman-won-in-court-against-elon-musk-but-really-we-all-lost
2026-05-22,Is Washington Up to the Challenge of A.I.?,online,podcast,tag,,https://www.newyorker.com/podcast/political-scene/is-washington-up-to-the-challenge-of-ai
2026-05-27,What the Pope Said About A.I.,online,news,tag,,https://www.newyorker.com/news/the-lede/what-pope-leo-xiv-said-about-ai
2026-05-29,Should You Automate Your Life?,online,culture,tag,,https://www.newyorker.com/culture/open-questions/should-you-automate-your-life
2026-06-02,Can A.I. Produce Writing That We Actually Want to Read?,online,news,tag,,https://www.newyorker.com/news/fault-lines/can-ai-produce-writing-that-we-actually-want-to-read
2026-06-05,"Instead of Taking Your Job, A.I. Might Transform It",online,culture,tag,,https://www.newyorker.com/culture/open-questions/instead-of-taking-your-job-ai-might-transform-it
2026-06-08,Is Elon Musk’s SpaceX Really Worth $1.75 Trillion?,online,news,tag,,https://www.newyorker.com/news/the-financial-page/is-elon-musks-spacex-really-worth-1-75-trillion
2026-06-09,Eight Predictions for the Future of Higher Education,online,news,tag,,https://www.newyorker.com/news/fault-lines/eight-predictions-for-the-future-of-higher-education
